month,trajectory_blocks,delta_terminal_max_damage_pct,delta_expected_damage_increment_pct,delta_tracking_mae_kw,delta_hydrogen_g_per_fc_kwh
2025-06,3,-0.003946214305581234,0.0002707494907407168,0.05236309264165367,-0.1120305686350716
2025-07,3,-0.003961869421355633,0.00034519692129624576,-0.037176053586471615,0.13947984936407332
2025-08,3,-0.003913932222268917,0.00028967916666663334,-0.026002428761240027,-0.2979051518605757
2025-09,3,-0.00377001652782925,0.0003341993981481166,-0.06823309991426336,-0.16424302927550485
2025-10,3,-0.0041080587500396,0.0004090220370370166,0.003951244261387025,-0.19050539688373766
2025-11,3,-0.004071280416712183,0.00032107476851848336,-0.0014823199441551342,-0.11847356709386025
2025-12,3,-0.004415024490798066,-0.0005041292129629667,-0.24659030267537232,-0.502997285128617
2026-01,3,-0.003927903125064183,-0.00015855340277777787,-0.20561773283562698,-0.16325341759357428
2026-02,3,-0.003846416435242767,0.0004337567824073667,0.06686431442001896,0.010615038389069326
2026-03,3,-0.00408530518524685,0.00109511259259255,0.053360567402635804,-0.03963138150554712
2026-04,3,-0.0037747584722723003,0.0004181095833332834,-0.029582718284959498,-0.08679940052740177
2026-05,3,-0.0036185460185841167,9.174013888885002e-05,-0.18121113343435913,-0.0809648515846343
2026-06,3,-0.0037656959722734,0.00035272053240735,-0.0229971854032071,0.1151851866432511
