block_id,month,health_case,positive_steps,above_40kw_steps,fixed_terminal_max_damage_pct,health_greedy_terminal_max_damage_pct,delta_terminal_max_damage_pct,fixed_terminal_damage_range_pct,health_greedy_terminal_damage_range_pct,delta_terminal_damage_range_pct,fixed_damage_increment_range_pct,health_greedy_damage_increment_range_pct,delta_damage_increment_range_pct,fixed_expected_damage_increment_pct,health_greedy_expected_damage_increment_pct,delta_expected_damage_increment_pct,fixed_hydrogen_g_per_fc_kwh,health_greedy_hydrogen_g_per_fc_kwh,delta_hydrogen_g_per_fc_kwh,fixed_tracking_mae_kw,health_greedy_tracking_mae_kw,delta_tracking_mae_kw,fixed_tracking_rmse_kw,health_greedy_tracking_rmse_kw,delta_tracking_rmse_kw,fixed_tracking_max_abs_kw,health_greedy_tracking_max_abs_kw,delta_tracking_max_abs_kw,fixed_safety_override_steps,health_greedy_safety_override_steps,delta_safety_override_steps,fixed_total_switch_count,health_greedy_total_switch_count,delta_total_switch_count
external_2025-06_s1,2025-06,oldest_stack_0,1440,0,7.486308002221872,7.482422824444445,-0.003885177777426918,6.547015402916353,6.543194205138926,-0.0038211977774267325,0.0039897462499632885,0.0042084655554508466,0.00021871930548755802,0.007874924027777777,0.008134231805555557,0.00025930777777777997,50.8242723103039,50.740430365409715,-0.08384194489418206,0.5087383051183769,0.5474073040551587,0.03866899893678177,0.7559892664394684,0.7825315608852434,0.02654229444577505,4.946387713067004,5.0276736169090945,0.08128590384209033,4.0,2.0,-2.0,2.0,2.0,0.0
external_2025-06_s1,2025-06,oldest_stack_1,1440,0,7.486443233611513,7.482422824444445,-0.004020409167067918,6.551140380555957,6.543072946111046,-0.00806743444491076,0.004020409167067918,0.004047025277843397,2.6616110775479207e-05,0.007813634166666666,0.007873314166666668,5.968000000000119e-05,50.90649769370717,50.776771622087324,-0.1297260716198494,0.4485317183942618,0.5632201205304046,0.11468840213614279,0.7186469355948202,0.8083521350136607,0.08970519941884048,4.912365960084898,5.027678947007725,0.11531298692282732,4.0,2.0,-2.0,2.0,2.0,0.0
external_2025-06_s1,2025-06,oldest_stack_2,1440,0,7.482422824444445,7.482422824444445,0.0,6.543381146388882,6.543381146388882,0.0,0.004017171666569119,0.004017171666569119,0.0,0.0077559966666666666,0.0077559966666666666,0.0,50.74042315148885,50.74042315148885,0.0,0.5474102849909114,0.5474102849909114,0.0,0.7825336006825223,0.7825336006825223,0.0,5.027677931140904,5.027677931140904,0.0,2.0,2.0,0.0,2.0,2.0,0.0
external_2025-06_s2,2025-06,oldest_stack_0,1440,0,7.486178735555237,7.482422824444445,-0.0037559111107920984,6.547137649166385,6.543319473055593,-0.0038181761107916046,0.0037559111107920984,0.004066272222130962,0.0003103611113388638,0.007494144444444443,0.007866770555555559,0.00037262611111111513,50.80982458109993,50.721865680206015,-0.08795890089391634,0.32805223458727567,0.36172952592254015,0.03367729133526448,0.6634910577450643,0.6831788593528182,0.019687801607753852,4.486239217717693,4.486239217717693,0.0,0.0,0.0,0.0,2.0,2.0,0.0
external_2025-06_s2,2025-06,oldest_stack_1,1440,0,7.486242001111536,7.482422824444445,-0.003819176667090751,6.5509391480559795,6.543204179166601,-0.007734968889378635,0.003819176667090751,0.003915792222287995,9.661555519724363e-05,0.007294373888888889,0.007672114444444446,0.00037774055555555696,50.81255321003532,50.72221134355785,-0.09034186647746623,0.3302693754777143,0.36180554737671156,0.03153617189899727,0.6761194071813745,0.6833057428105482,0.007186335629173701,4.486239217717693,4.486239217717693,0.0,0.0,0.0,0.0,2.0,2.0,0.0
external_2025-06_s2,2025-06,oldest_stack_2,1440,0,7.482422824444445,7.482422824444445,0.0,6.543500449166659,6.543500449166659,0.0,0.003881441666484964,0.003881441666484964,0.0,0.00750096388888889,0.00750096388888889,0.0,50.721858307499474,50.721858307499474,0.0,0.3617319702786769,0.3617319702786769,0.0,0.6831792200449966,0.6831792200449966,0.0,4.486239217717693,4.486239217717693,0.0,0.0,0.0,0.0,2.0,2.0,0.0
external_2025-06_s3,2025-06,oldest_stack_0,1707,0,7.48645070222177,7.482422824444445,-0.004027877777325273,6.546886587499594,6.542857198888935,-0.00402938861065838,0.004261261666620997,0.004432474444305168,0.00017121277768417098,0.008289139444444444,0.008695246944444446,0.0004061075000000025,50.84706772390778,50.75768824813391,-0.08937947577386751,0.4423166539438553,0.47162800124517223,0.02931134730131696,0.7422347617128887,0.7325444441764042,-0.009690317536484527,5.495615868927317,4.6921555598781595,-0.8034603090491572,3.0,3.0,0.0,2.0,2.0,0.0
external_2025-06_s3,2025-06,oldest_stack_1,1707,0,7.48659155777823,7.482422824444445,-0.004168733333784758,6.551288704722674,6.542721022499921,-0.00856768222275317,0.004168733333784758,0.004398948888967635,0.00023021555518287773,0.008280875,0.00842991,0.0001490350000000005,50.954544321522675,50.76360916937153,-0.1909351521511482,0.4063451861692748,0.4726415304106939,0.06629634424141911,0.7236580484228603,0.7331822916651943,0.00952424324233403,5.340703984377065,4.692152623599114,-0.648551360777951,3.0,3.0,0.0,2.0,2.0,0.0
external_2025-06_s3,2025-06,oldest_stack_2,1707,0,7.482422824444445,7.482422824444445,0.0,6.543060188055549,6.543060188055549,0.0,0.0042309983333082,0.0042309983333082,0.0,0.008290781666666667,0.008290781666666667,0.0,50.757681091300135,50.757681091300135,0.0,0.4716314247881133,0.4716314247881133,0.0,0.7325458271190602,0.7325458271190602,0.0,4.692161414529842,4.692161414529842,0.0,3.0,3.0,0.0,2.0,2.0,0.0
external_2025-07_s1,2025-07,oldest_stack_0,1440,0,7.486415257777459,7.482422824444445,-0.003992433333014134,6.546956361805259,6.542965214722245,-0.00399114708301429,0.004156042916644065,0.0043916766665756946,0.00023563374993162967,0.00814847625,0.008546433333333336,0.0003979570833333359,51.46731621246629,51.37120764827666,-0.09610856418962754,0.4596832885545076,0.5007450797066774,0.04106179115216979,0.7268108199602447,0.747325791817151,0.020514971856906317,4.4712850869919665,4.4712850869919665,0.0,0.0,0.0,0.0,2.0,2.0,0.0
