policy,reference_policy,mean_gain_h,minimum_gain_h,maximum_gain_h,win_share,nonworse_share
fixed_pair,health_greedy,-231.45,-301.0,-151.0,0.0,0.0
expected_max,health_greedy,3.7,-29.0,83.0,0.25,0.8
