stack_id,cell_count,current_density_a_cm2,gross_stack_power_kw,efficiency_lhv_pct,stack_current_a,hydrogen_flow_kg_s,chemical_input_lhv_kw,net_system_power_kw,auxiliary_power_kw,efficiency_hhv_pct
stack_1,270,0.1,8.74272975786213,41.1328874393093,40.6,0.00011474965020469503,13.769958024563403,5.663981334683802,3.078748423178327,34.799440957150075
stack_1,270,0.15,12.3233608049161,45.0961115252288,60.9,0.00017212447530704257,20.65493703684511,9.314573441601459,3.0087873633146405,38.15242663755984
stack_1,270,0.2,15.8205873667414,46.7748741147634,81.2,0.00022949930040939005,27.539916049126806,12.881761063290584,2.9388263034508153,39.572701343578935
stack_1,270,0.25,19.2375277899977,47.5489105114525,101.5,0.0002868741255117376,34.42489506140851,16.368662546410565,2.868865243587134,40.227555295298494
stack_1,270,0.3,22.5970786614248,47.926010237612,121.8,0.00034424895061408513,41.30987407369022,19.798174477701398,2.798904183723401,40.54659099817268
stack_1,270,0.35,25.8983399649704,48.0744215565514,142.1,0.0004016237757164326,48.19485308597191,23.169396841110757,2.7289431238596435,40.67215064769704
stack_1,270,0.4,29.1083257178287,48.0200150331821,162.4,0.0004589986008187801,55.07983209825361,26.449343653832845,2.658982063995854,40.62612138217399
stack_1,270,0.45,32.1510847141242,47.7078251029573,182.70000000000002,0.0005163734259211278,61.96481111053533,29.56206370999205,2.589021004132153,40.36200097340608
stack_1,270,0.5,35.0482849767035,47.2466582315038,203.0,0.0005737482510234752,68.84979012281703,32.52922503243502,2.519059944268477,39.971842384655936
stack_1,270,0.55,37.7918152663473,46.666434433697,223.3,0.0006311230761258227,75.73476913509873,35.342716381942644,2.4490988844046555,39.48095868913363
stack_1,270,0.6,40.3451829621518,45.952748572757,243.6,0.0006884979012281703,82.61974814738043,37.96604513761079,2.3791378245410115,38.877162784545625
stack_1,270,0.65,43.0043189478385,45.1133482702631,263.90000000000003,0.0007458727263305177,89.50472715966212,40.37857928188714,2.6257396659513574,38.167009350528865
stack_1,270,0.7,46.0809320906646,44.3033657146548,284.2,0.0008032475514328652,96.38970617194381,42.703884036637454,3.377048054027142,37.48174405856992
stack_1,270,0.75,49.1374020137146,43.3699952572285,304.5,0.0008606223765352127,103.27468518422553,44.79022606631628,4.34717594739832,36.69208954738883
stack_1,270,0.8,51.3174182953922,42.47769108618,324.8,0.0009179972016375602,110.15966419650722,46.79328185896557,4.52413643642663,35.937178131018236
