boundary_id,boundary_label,boundary_order,boundary_over_calibration,scenario_id,policy,local_seed,first_gain_change_vs_lzw_h,second_gain_change_vs_lzw_h
370a_5pct_voltage_loss,"370 A, 5% loss",1,1.3036156466795592,heterogeneity_gp_re_increased_perm_3,order_blend_50,7,910.0,-167.0
370a_5pct_voltage_loss,"370 A, 5% loss",1,1.3036156466795592,heterogeneity_gp_re_increased_perm_3,order_blend_50,8,1000.0,332.0
370a_5pct_voltage_loss,"370 A, 5% loss",1,1.3036156466795592,heterogeneity_gp_re_increased_perm_3,order_blend_50,9,1089.0,179.0
370a_5pct_voltage_loss,"370 A, 5% loss",1,1.3036156466795592,heterogeneity_gp_re_increased_perm_3,order_blend_50,10,1035.0,240.0
370a_5pct_voltage_loss,"370 A, 5% loss",1,1.3036156466795592,heterogeneity_gp_re_increased_perm_3,order_blend_50,11,1432.0,162.0
370a_5pct_voltage_loss,"370 A, 5% loss",1,1.3036156466795592,heterogeneity_gp_re_increased_perm_3,order_blend_50,12,679.0,366.0
370a_5pct_voltage_loss,"370 A, 5% loss",1,1.3036156466795592,heterogeneity_gp_re_increased_perm_3,order_blend_50,13,1013.0,336.0
370a_5pct_voltage_loss,"370 A, 5% loss",1,1.3036156466795592,heterogeneity_gp_re_increased_perm_3,order_blend_50,14,1363.0,-12.0
370a_5pct_voltage_loss,"370 A, 5% loss",1,1.3036156466795592,heterogeneity_gp_re_increased_perm_3,order_blend_50,15,1286.0,189.0
370a_5pct_voltage_loss,"370 A, 5% loss",1,1.3036156466795592,heterogeneity_gp_re_increased_perm_3,order_blend_50,16,1441.0,257.0
370a_5pct_voltage_loss,"370 A, 5% loss",1,1.3036156466795592,heterogeneity_gp_re_increased_perm_3,order_blend_50,17,1013.0,54.0
370a_5pct_voltage_loss,"370 A, 5% loss",1,1.3036156466795592,heterogeneity_gp_re_increased_perm_3,order_blend_50,18,1246.0,162.0
370a_5pct_voltage_loss,"370 A, 5% loss",1,1.3036156466795592,heterogeneity_gp_re_increased_perm_3,order_blend_50,19,1099.0,231.0
