policy,effective_policy,first_boundary_crossed,second_boundary_crossed,time_to_first_boundary_h,time_to_second_boundary_h,post_first_n_plus_one_reserve_h,first_boundary_total_damage_pct,first_boundary_damage_range_pct,final_elapsed_h,final_total_damage_pct,final_damage_range_pct,start_count,assignment_change_count,crossing_order,stack_0_crossing_h,stack_1_crossing_h,stack_2_crossing_h,stack_0_final_damage_pct,stack_1_final_damage_pct,stack_2_final_damage_pct,boundary_id,boundary_label,health_limit_pct,diagnostic_current_a,voltage_loss_fraction,extrapolated,boundary_order,boundary_over_calibration,scenario_id,local_seed,initial_damage_fraction,initial_damage_absolute_pct,heterogeneity_factors,guard_source,simulation_seed
fixed_pair,fixed_pair,True,True,1095.0,1501.0,406.0,23.293385371871288,2.8971401180818175,1501.0,27.408088186495398,0.6533308938225275,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1095.0,1501.0,8.700720438931803,9.35405133275433,9.353316414809264,lzw_calibration_endpoint,LZW endpoint,9.353028530555555,,,False,0,1.0,reference,5,"(0.1, 0.4, 0.8)","(np.float64(0.9353028530555556), np.float64(3.7412114122222224), np.float64(7.482422824444445))","(1.0, 1.05, 1.1)",order_blend_50,5
order_blend_50,order_blend_50,True,True,1095.0,1501.0,406.0,23.293385371871288,2.8971401180818175,1501.0,27.408088186495398,0.6533308938225275,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1095.0,1501.0,8.700720438931803,9.35405133275433,9.353316414809264,lzw_calibration_endpoint,LZW endpoint,9.353028530555555,,,False,0,1.0,reference,5,"(0.1, 0.4, 0.8)","(np.float64(0.9353028530555556), np.float64(3.7412114122222224), np.float64(7.482422824444445))","(1.0, 1.05, 1.1)",order_blend_50,5
fixed_pair,fixed_pair,True,True,1078.0,1393.0,315.0,23.64722992356773,2.541691606828241,1393.0,27.21756677977225,0.846108545430889,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1078.0,1393.0,8.5091044406828,9.353249352975762,9.355212986113688,lzw_calibration_endpoint,LZW endpoint,9.353028530555555,,,False,0,1.0,reference,6,"(0.1, 0.4, 0.8)","(np.float64(0.9353028530555556), np.float64(3.7412114122222224), np.float64(7.482422824444445))","(1.0, 1.05, 1.1)",order_blend_50,6
order_blend_50,order_blend_50,True,True,1078.0,1393.0,315.0,23.64722992356773,2.541691606828241,1393.0,27.21756677977225,0.846108545430889,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1078.0,1393.0,8.5091044406828,9.353249352975762,9.355212986113688,lzw_calibration_endpoint,LZW endpoint,9.353028530555555,,,False,0,1.0,reference,6,"(0.1, 0.4, 0.8)","(np.float64(0.9353028530555556), np.float64(3.7412114122222224), np.float64(7.482422824444445))","(1.0, 1.05, 1.1)",order_blend_50,6
fixed_pair,fixed_pair,True,True,1135.0,1412.0,277.0,23.432276572900438,2.7588717280164383,1412.0,26.86697273618143,1.2262682252017694,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1135.0,1412.0,8.143170886371724,9.354362738236215,9.369439111573493,lzw_calibration_endpoint,LZW endpoint,9.353028530555555,,,False,0,1.0,reference,7,"(0.1, 0.4, 0.8)","(np.float64(0.9353028530555556), np.float64(3.7412114122222224), np.float64(7.482422824444445))","(1.0, 1.05, 1.1)",order_blend_50,7
order_blend_50,order_blend_50,True,True,1135.0,1412.0,277.0,23.432276572900438,2.7588717280164383,1412.0,26.86697273618143,1.2262682252017694,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1135.0,1412.0,8.143170886371724,9.354362738236215,9.369439111573493,lzw_calibration_endpoint,LZW endpoint,9.353028530555555,,,False,0,1.0,reference,7,"(0.1, 0.4, 0.8)","(np.float64(0.9353028530555556), np.float64(3.7412114122222224), np.float64(7.482422824444445))","(1.0, 1.05, 1.1)",order_blend_50,7
fixed_pair,fixed_pair,True,True,1114.0,1395.0,281.0,22.756745177793036,3.438032981536124,1395.0,25.91058846413035,2.155017568304592,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1114.0,1395.0,7.201160099137766,9.356177667442358,9.353250697550225,lzw_calibration_endpoint,LZW endpoint,9.353028530555555,,,False,0,1.0,reference,8,"(0.1, 0.4, 0.8)","(np.float64(0.9353028530555556), np.float64(3.7412114122222224), np.float64(7.482422824444445))","(1.0, 1.05, 1.1)",order_blend_50,8
order_blend_50,order_blend_50,True,True,1114.0,1395.0,281.0,22.756745177793036,3.438032981536124,1395.0,25.91058846413035,2.155017568304592,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1114.0,1395.0,7.201160099137766,9.356177667442358,9.353250697550225,lzw_calibration_endpoint,LZW endpoint,9.353028530555555,,,False,0,1.0,reference,8,"(0.1, 0.4, 0.8)","(np.float64(0.9353028530555556), np.float64(3.7412114122222224), np.float64(7.482422824444445))","(1.0, 1.05, 1.1)",order_blend_50,8
fixed_pair,fixed_pair,True,True,964.0,1288.0,324.0,23.052404389975635,3.1375012813075998,1288.0,26.1479032499668,1.9582331649331142,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,964.0,1288.0,7.417964330807145,9.353741423419395,9.376197495740259,lzw_calibration_endpoint,LZW endpoint,9.353028530555555,,,False,0,1.0,reference,9,"(0.1, 0.4, 0.8)","(np.float64(0.9353028530555556), np.float64(3.7412114122222224), np.float64(7.482422824444445))","(1.0, 1.05, 1.1)",order_blend_50,9
order_blend_50,order_blend_50,True,True,964.0,1288.0,324.0,23.052404389975635,3.1375012813075998,1288.0,26.1479032499668,1.9582331649331142,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,964.0,1288.0,7.417964330807145,9.353741423419395,9.376197495740259,lzw_calibration_endpoint,LZW endpoint,9.353028530555555,,,False,0,1.0,reference,9,"(0.1, 0.4, 0.8)","(np.float64(0.9353028530555556), np.float64(3.7412114122222224), np.float64(7.482422824444445))","(1.0, 1.05, 1.1)",order_blend_50,9
