boundary_id,scenario_id,local_seed,boundary_label,boundary_order,health_limit_pct,boundary_over_calibration,extrapolated,policy,effective_policy,first_boundary_gain_h,second_boundary_gain_h,start_count_delta,assignment_change_delta
lzw_calibration_endpoint,heterogeneity_gp_re_increased_perm_3,0,LZW endpoint,0,9.353028530555555,1.0,False,order_blend_50,order_blend_50,363.0,7.0,6,6
lzw_calibration_endpoint,heterogeneity_gp_re_increased_perm_3,1,LZW endpoint,0,9.353028530555555,1.0,False,order_blend_50,order_blend_50,117.0,-144.0,2,2
lzw_calibration_endpoint,heterogeneity_gp_re_increased_perm_3,2,LZW endpoint,0,9.353028530555555,1.0,False,order_blend_50,order_blend_50,339.0,250.0,8,8
lzw_calibration_endpoint,heterogeneity_gp_re_increased_perm_3,3,LZW endpoint,0,9.353028530555555,1.0,False,order_blend_50,order_blend_50,710.0,28.0,18,18
lzw_calibration_endpoint,heterogeneity_gp_re_increased_perm_3,4,LZW endpoint,0,9.353028530555555,1.0,False,order_blend_50,order_blend_50,457.0,-21.0,18,18
lzw_calibration_endpoint,heterogeneity_gp_re_increased_perm_3,5,LZW endpoint,0,9.353028530555555,1.0,False,order_blend_50,order_blend_50,446.0,36.0,14,14
lzw_calibration_endpoint,heterogeneity_gp_re_increased_perm_3,6,LZW endpoint,0,9.353028530555555,1.0,False,order_blend_50,order_blend_50,288.0,14.0,8,8
lzw_calibration_endpoint,heterogeneity_gp_re_increased_perm_3,7,LZW endpoint,0,9.353028530555555,1.0,False,order_blend_50,order_blend_50,451.0,224.0,12,12
lzw_calibration_endpoint,heterogeneity_gp_re_increased_perm_3,8,LZW endpoint,0,9.353028530555555,1.0,False,order_blend_50,order_blend_50,532.0,39.0,12,12
lzw_calibration_endpoint,heterogeneity_gp_re_increased_perm_3,9,LZW endpoint,0,9.353028530555555,1.0,False,order_blend_50,order_blend_50,517.0,0.0,14,14
