scenario_id,local_seed,policy,effective_policy,first_boundary_gain_h,second_boundary_gain_h,start_count_delta
initial_stagger_perm_4,7,guarded_blend,fixed_pair,0.0,0.0,0
initial_stagger_perm_4,8,guarded_blend,fixed_pair,0.0,0.0,0
initial_stagger_perm_4,9,guarded_blend,fixed_pair,0.0,0.0,0
initial_stagger_perm_4,10,guarded_blend,fixed_pair,0.0,0.0,0
initial_stagger_perm_4,11,guarded_blend,fixed_pair,0.0,0.0,0
initial_stagger_perm_4,12,guarded_blend,fixed_pair,0.0,0.0,0
initial_stagger_perm_4,13,guarded_blend,fixed_pair,0.0,0.0,0
initial_stagger_perm_4,14,guarded_blend,fixed_pair,0.0,0.0,0
initial_stagger_perm_4,15,guarded_blend,fixed_pair,0.0,0.0,0
initial_stagger_perm_4,16,guarded_blend,fixed_pair,0.0,0.0,0
initial_stagger_perm_4,17,guarded_blend,fixed_pair,0.0,0.0,0
initial_stagger_perm_4,18,guarded_blend,fixed_pair,0.0,0.0,0
initial_stagger_perm_4,19,guarded_blend,fixed_pair,0.0,0.0,0
initial_stagger_perm_5,0,guarded_blend,fixed_pair,0.0,0.0,0
initial_stagger_perm_5,1,guarded_blend,fixed_pair,0.0,0.0,0
initial_stagger_perm_5,2,guarded_blend,fixed_pair,0.0,0.0,0
initial_stagger_perm_5,3,guarded_blend,fixed_pair,0.0,0.0,0
initial_stagger_perm_5,4,guarded_blend,fixed_pair,0.0,0.0,0
initial_stagger_perm_5,5,guarded_blend,fixed_pair,0.0,0.0,0
initial_stagger_perm_5,6,guarded_blend,fixed_pair,0.0,0.0,0
initial_stagger_perm_5,7,guarded_blend,fixed_pair,0.0,0.0,0
initial_stagger_perm_5,8,guarded_blend,fixed_pair,0.0,0.0,0
initial_stagger_perm_5,9,guarded_blend,fixed_pair,0.0,0.0,0
initial_stagger_perm_5,10,guarded_blend,fixed_pair,0.0,0.0,0
initial_stagger_perm_5,11,guarded_blend,fixed_pair,0.0,0.0,0
initial_stagger_perm_5,12,guarded_blend,fixed_pair,0.0,0.0,0
initial_stagger_perm_5,13,guarded_blend,fixed_pair,0.0,0.0,0
initial_stagger_perm_5,14,guarded_blend,fixed_pair,0.0,0.0,0
initial_stagger_perm_5,15,guarded_blend,fixed_pair,0.0,0.0,0
initial_stagger_perm_5,16,guarded_blend,fixed_pair,0.0,0.0,0
initial_stagger_perm_5,17,guarded_blend,fixed_pair,0.0,0.0,0
initial_stagger_perm_5,18,guarded_blend,fixed_pair,0.0,0.0,0
initial_stagger_perm_5,19,guarded_blend,fixed_pair,0.0,0.0,0
initial_zuo_one_aged_stack_0,0,guarded_blend,fixed_pair,0.0,0.0,0
initial_zuo_one_aged_stack_0,1,guarded_blend,fixed_pair,0.0,0.0,0
initial_zuo_one_aged_stack_0,2,guarded_blend,fixed_pair,0.0,0.0,0
initial_zuo_one_aged_stack_0,3,guarded_blend,fixed_pair,0.0,0.0,0
initial_zuo_one_aged_stack_0,4,guarded_blend,fixed_pair,0.0,0.0,0
initial_zuo_one_aged_stack_0,5,guarded_blend,fixed_pair,0.0,0.0,0
initial_zuo_one_aged_stack_0,6,guarded_blend,fixed_pair,0.0,0.0,0
initial_zuo_one_aged_stack_0,7,guarded_blend,fixed_pair,0.0,0.0,0
initial_zuo_one_aged_stack_0,8,guarded_blend,fixed_pair,0.0,0.0,0
initial_zuo_one_aged_stack_0,9,guarded_blend,fixed_pair,0.0,0.0,0
initial_zuo_one_aged_stack_0,10,guarded_blend,fixed_pair,0.0,0.0,0
initial_zuo_one_aged_stack_0,11,guarded_blend,fixed_pair,0.0,0.0,0
initial_zuo_one_aged_stack_0,12,guarded_blend,fixed_pair,0.0,0.0,0
initial_zuo_one_aged_stack_0,13,guarded_blend,fixed_pair,0.0,0.0,0
initial_zuo_one_aged_stack_0,14,guarded_blend,fixed_pair,0.0,0.0,0
initial_zuo_one_aged_stack_0,15,guarded_blend,fixed_pair,0.0,0.0,0
initial_zuo_one_aged_stack_0,16,guarded_blend,fixed_pair,0.0,0.0,0
initial_zuo_one_aged_stack_0,17,guarded_blend,fixed_pair,0.0,0.0,0
initial_zuo_one_aged_stack_0,18,guarded_blend,fixed_pair,0.0,0.0,0
initial_zuo_one_aged_stack_0,19,guarded_blend,fixed_pair,0.0,0.0,0
initial_zuo_one_aged_stack_1,0,guarded_blend,fixed_pair,0.0,0.0,0
initial_zuo_one_aged_stack_1,1,guarded_blend,fixed_pair,0.0,0.0,0
initial_zuo_one_aged_stack_1,2,guarded_blend,fixed_pair,0.0,0.0,0
initial_zuo_one_aged_stack_1,3,guarded_blend,fixed_pair,0.0,0.0,0
initial_zuo_one_aged_stack_1,4,guarded_blend,fixed_pair,0.0,0.0,0
initial_zuo_one_aged_stack_1,5,guarded_blend,fixed_pair,0.0,0.0,0
initial_zuo_one_aged_stack_1,6,guarded_blend,fixed_pair,0.0,0.0,0
initial_zuo_one_aged_stack_1,7,guarded_blend,fixed_pair,0.0,0.0,0
initial_zuo_one_aged_stack_1,8,guarded_blend,fixed_pair,0.0,0.0,0
initial_zuo_one_aged_stack_1,9,guarded_blend,fixed_pair,0.0,0.0,0
initial_zuo_one_aged_stack_1,10,guarded_blend,fixed_pair,0.0,0.0,0
initial_zuo_one_aged_stack_1,11,guarded_blend,fixed_pair,0.0,0.0,0
initial_zuo_one_aged_stack_1,12,guarded_blend,fixed_pair,0.0,0.0,0
initial_zuo_one_aged_stack_1,13,guarded_blend,fixed_pair,0.0,0.0,0
initial_zuo_one_aged_stack_1,14,guarded_blend,fixed_pair,0.0,0.0,0
initial_zuo_one_aged_stack_1,15,guarded_blend,fixed_pair,0.0,0.0,0
initial_zuo_one_aged_stack_1,16,guarded_blend,fixed_pair,0.0,0.0,0
initial_zuo_one_aged_stack_1,17,guarded_blend,fixed_pair,0.0,0.0,0
initial_zuo_one_aged_stack_1,18,guarded_blend,fixed_pair,0.0,0.0,0
initial_zuo_one_aged_stack_1,19,guarded_blend,fixed_pair,0.0,0.0,0
initial_zuo_one_aged_stack_2,0,guarded_blend,order_blend_50,842.0,674.0,92
initial_zuo_one_aged_stack_2,1,guarded_blend,order_blend_50,692.0,708.0,78
initial_zuo_one_aged_stack_2,2,guarded_blend,order_blend_50,593.0,581.0,71
initial_zuo_one_aged_stack_2,3,guarded_blend,order_blend_50,780.0,611.0,76
initial_zuo_one_aged_stack_2,4,guarded_blend,order_blend_50,808.0,700.0,76
initial_zuo_one_aged_stack_2,5,guarded_blend,order_blend_50,692.0,698.0,84
initial_zuo_one_aged_stack_2,6,guarded_blend,order_blend_50,752.0,669.0,77
initial_zuo_one_aged_stack_2,7,guarded_blend,order_blend_50,787.0,603.0,79
initial_zuo_one_aged_stack_2,8,guarded_blend,order_blend_50,691.0,543.0,67
initial_zuo_one_aged_stack_2,9,guarded_blend,order_blend_50,764.0,503.0,64
initial_zuo_one_aged_stack_2,10,guarded_blend,order_blend_50,926.0,708.0,81
initial_zuo_one_aged_stack_2,11,guarded_blend,order_blend_50,863.0,636.0,78
initial_zuo_one_aged_stack_2,12,guarded_blend,order_blend_50,809.0,623.0,76
initial_zuo_one_aged_stack_2,13,guarded_blend,order_blend_50,747.0,643.0,75
initial_zuo_one_aged_stack_2,14,guarded_blend,order_blend_50,766.0,740.0,88
initial_zuo_one_aged_stack_2,15,guarded_blend,order_blend_50,725.0,728.0,78
initial_zuo_one_aged_stack_2,16,guarded_blend,order_blend_50,750.0,540.0,61
initial_zuo_one_aged_stack_2,17,guarded_blend,order_blend_50,779.0,771.0,77
initial_zuo_one_aged_stack_2,18,guarded_blend,order_blend_50,787.0,789.0,76
initial_zuo_one_aged_stack_2,19,guarded_blend,order_blend_50,709.0,608.0,73
initial_equal_fresh,0,guarded_blend,fixed_pair,0.0,0.0,0
initial_equal_fresh,1,guarded_blend,fixed_pair,0.0,0.0,0
initial_equal_fresh,2,guarded_blend,fixed_pair,0.0,0.0,0
initial_equal_fresh,3,guarded_blend,fixed_pair,0.0,0.0,0
initial_equal_fresh,4,guarded_blend,fixed_pair,0.0,0.0,0
initial_equal_fresh,5,guarded_blend,fixed_pair,0.0,0.0,0
initial_equal_fresh,6,guarded_blend,fixed_pair,0.0,0.0,0
initial_equal_fresh,7,guarded_blend,fixed_pair,0.0,0.0,0
initial_equal_fresh,8,guarded_blend,fixed_pair,0.0,0.0,0
initial_equal_fresh,9,guarded_blend,fixed_pair,0.0,0.0,0
initial_equal_fresh,10,guarded_blend,fixed_pair,0.0,0.0,0
initial_equal_fresh,11,guarded_blend,fixed_pair,0.0,0.0,0
initial_equal_fresh,12,guarded_blend,fixed_pair,0.0,0.0,0
initial_equal_fresh,13,guarded_blend,fixed_pair,0.0,0.0,0
initial_equal_fresh,14,guarded_blend,fixed_pair,0.0,0.0,0
initial_equal_fresh,15,guarded_blend,fixed_pair,0.0,0.0,0
initial_equal_fresh,16,guarded_blend,fixed_pair,0.0,0.0,0
initial_equal_fresh,17,guarded_blend,fixed_pair,0.0,0.0,0
initial_equal_fresh,18,guarded_blend,fixed_pair,0.0,0.0,0
initial_equal_fresh,19,guarded_blend,fixed_pair,0.0,0.0,0
initial_equal_midlife,0,guarded_blend,fixed_pair,0.0,0.0,0
initial_equal_midlife,1,guarded_blend,fixed_pair,0.0,0.0,0
initial_equal_midlife,2,guarded_blend,fixed_pair,0.0,0.0,0
initial_equal_midlife,3,guarded_blend,fixed_pair,0.0,0.0,0
initial_equal_midlife,4,guarded_blend,fixed_pair,0.0,0.0,0
initial_equal_midlife,5,guarded_blend,fixed_pair,0.0,0.0,0
initial_equal_midlife,6,guarded_blend,fixed_pair,0.0,0.0,0
initial_equal_midlife,7,guarded_blend,fixed_pair,0.0,0.0,0
initial_equal_midlife,8,guarded_blend,fixed_pair,0.0,0.0,0
initial_equal_midlife,9,guarded_blend,fixed_pair,0.0,0.0,0
initial_equal_midlife,10,guarded_blend,fixed_pair,0.0,0.0,0
initial_equal_midlife,11,guarded_blend,fixed_pair,0.0,0.0,0
initial_equal_midlife,12,guarded_blend,fixed_pair,0.0,0.0,0
initial_equal_midlife,13,guarded_blend,fixed_pair,0.0,0.0,0
initial_equal_midlife,14,guarded_blend,fixed_pair,0.0,0.0,0
initial_equal_midlife,15,guarded_blend,fixed_pair,0.0,0.0,0
initial_equal_midlife,16,guarded_blend,fixed_pair,0.0,0.0,0
initial_equal_midlife,17,guarded_blend,fixed_pair,0.0,0.0,0
initial_equal_midlife,18,guarded_blend,fixed_pair,0.0,0.0,0
initial_equal_midlife,19,guarded_blend,fixed_pair,0.0,0.0,0
