boundary_id,scenario_id,local_seed,policy,effective_policy,first_boundary_gain_h,second_boundary_gain_h,start_count_delta
lzw_calibration_endpoint,heterogeneity_gp_re_increased_perm_3,18,guarded_blend,fixed_pair,0.0,0.0,0
lzw_calibration_endpoint,heterogeneity_gp_re_increased_perm_3,19,guarded_blend,fixed_pair,0.0,0.0,0
370a_5pct_voltage_loss,reference,0,guarded_blend,order_blend_50,734.0,122.0,30
370a_5pct_voltage_loss,reference,1,guarded_blend,order_blend_50,526.0,210.0,26
370a_5pct_voltage_loss,reference,2,guarded_blend,order_blend_50,398.0,232.0,23
370a_5pct_voltage_loss,reference,3,guarded_blend,order_blend_50,697.0,116.0,10
370a_5pct_voltage_loss,reference,4,guarded_blend,order_blend_50,685.0,108.0,34
370a_5pct_voltage_loss,reference,5,guarded_blend,order_blend_50,608.0,91.0,23
370a_5pct_voltage_loss,reference,6,guarded_blend,order_blend_50,633.0,140.0,28
370a_5pct_voltage_loss,reference,7,guarded_blend,order_blend_50,664.0,5.0,25
370a_5pct_voltage_loss,reference,8,guarded_blend,order_blend_50,696.0,31.0,11
370a_5pct_voltage_loss,reference,9,guarded_blend,order_blend_50,397.0,-20.0,14
370a_5pct_voltage_loss,reference,10,guarded_blend,order_blend_50,762.0,126.0,26
370a_5pct_voltage_loss,reference,11,guarded_blend,order_blend_50,784.0,11.0,24
370a_5pct_voltage_loss,reference,12,guarded_blend,order_blend_50,734.0,65.0,19
370a_5pct_voltage_loss,reference,13,guarded_blend,order_blend_50,633.0,222.0,34
370a_5pct_voltage_loss,reference,14,guarded_blend,order_blend_50,530.0,285.0,32
370a_5pct_voltage_loss,reference,15,guarded_blend,order_blend_50,531.0,335.0,27
370a_5pct_voltage_loss,reference,16,guarded_blend,order_blend_50,822.0,9.0,12
370a_5pct_voltage_loss,reference,17,guarded_blend,order_blend_50,488.0,318.0,29
370a_5pct_voltage_loss,reference,18,guarded_blend,order_blend_50,706.0,118.0,23
370a_5pct_voltage_loss,reference,19,guarded_blend,order_blend_50,562.0,126.0,26
370a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_2,0,guarded_blend,order_blend_50,185.0,-70.0,18
