scenario_id,policy,samples,first_boundary_gain_mean_h,first_boundary_gain_ci95_low_h,first_boundary_gain_ci95_high_h,second_boundary_gain_mean_h,second_boundary_gain_ci95_low_h,second_boundary_gain_ci95_high_h,second_boundary_nonworse_share,start_count_delta_mean
heterogeneity_current_perm_2,rate_bounded_blend,20,154.55,99.65,214.05,10.25,3.45,20.897887366567375,0.75,3.9
heterogeneity_current_perm_3,rate_bounded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
heterogeneity_current_perm_4,rate_bounded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
heterogeneity_current_perm_5,rate_bounded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
heterogeneity_identical,rate_bounded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
heterogeneity_gp_re_low_perm_0,rate_bounded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
heterogeneity_gp_re_low_perm_1,rate_bounded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
heterogeneity_gp_re_base_perm_0,rate_bounded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
heterogeneity_gp_re_base_perm_1,rate_bounded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
heterogeneity_gp_re_high_perm_0,rate_bounded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
heterogeneity_gp_re_high_perm_1,rate_bounded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
heterogeneity_gp_re_high_perm_2,rate_bounded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
heterogeneity_gp_re_high_perm_3,rate_bounded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
heterogeneity_gp_re_high_perm_4,rate_bounded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
heterogeneity_gp_re_high_perm_5,rate_bounded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
heterogeneity_gp_re_increased_perm_0,rate_bounded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
heterogeneity_gp_re_increased_perm_1,rate_bounded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
