policy,mean_gain_h,minimum_gain_h,maximum_gain_h,win_share,nonworse_share
periodic_rotation,-400.35,-539.0,-164.0,0.0,0.0
expected_max,235.15,149.0,301.0,1.0,1.0
gamma_cvar,209.7,144.0,261.0,1.0,1.0
