split,model,train_rows,eval_rows,eval_start,eval_stop_exclusive,rmse,mae,rmse_improvement_vs_zero,mae_improvement_vs_zero,r2_zero_increment,residual_lag1,prediction_mean,target_mean
train70_validation15,zero_increment,433,92,433,525,0.00010391273723170796,8.183022464756517e-05,0.0,0.0,0.0,-0.03209829654132158,0.0,7.424054939977321e-05
train70_validation15,constant_segment,433,92,433,525,8.058037477606725e-05,5.6328479870310006e-05,0.2245380410258413,0.31164212107554023,0.39865875018396024,-0.0320982965413216,3.949865804012451e-05,7.424054939977321e-05
train70_validation15,event_count_clock,433,92,433,525,7.682978060478678e-05,5.307421642574685e-05,0.2606317314741766,0.3514105985370033,0.453334563497126,-0.03972029528554076,4.0106723516931295e-05,7.424054939977321e-05
train70_validation15,elapsed_clock,433,92,433,525,8.136480250169483e-05,5.616631700973932e-05,0.2169891327156075,0.3136238199071041,0.3868939817145435,-0.03020892254873324,3.5143673390187956e-05,7.424054939977321e-05
train70_validation15,stack_on_clock,433,92,433,525,8.1322344565343e-05,5.603213999004194e-05,0.2173977249390724,0.31526351991129287,0.38753367906946024,-0.04751745394515911,3.503691240552941e-05,7.424054939977321e-05
train70_validation15,load_on_clock,433,92,433,525,8.143622743972094e-05,5.610671939682743e-05,0.21630177772979042,0.3143521279762628,0.3858170964105132,-0.04760909629754069,3.485468866823363e-05,7.424054939977321e-05
train70_validation15,charge_throughput,433,92,433,525,8.305859336610175e-05,5.833314005142427e-05,0.2006890052285406,0.28714432469592444,0.36110193363746,-0.0532428808108803,3.4771943603212246e-05,7.424054939977321e-05
train70_validation15,stack_on_plus_charge,433,92,433,525,8.1322344565343e-05,5.603213999004194e-05,0.2173977249390724,0.31526351991129287,0.38753367906946024,-0.04751745394515911,3.503691240552941e-05,7.424054939977321e-05
train85_test15,zero_increment,525,93,525,618,0.00012003057293622837,9.609154585302454e-05,0.0,0.0,0.0,-0.08918337828390767,0.0,9.216872934177884e-05
train85_test15,constant_segment,525,93,525,618,8.990074278994463e-05,6.474451998184478e-05,0.2510179649170846,0.32622043482499663,0.43902591112305456,-0.08918337828390772,4.558676090695819e-05,9.216872934177884e-05
train85_test15,event_count_clock,525,93,525,618,9.016878790391592e-05,6.520439481841073e-05,0.24878482458113282,0.3214346356947656,0.43567576022040067,-0.10054250735236404,4.420382089266313e-05,9.216872934177884e-05
train85_test15,elapsed_clock,525,93,525,618,9.577903322993883e-05,7.009352927829392e-05,0.20204468839096734,0.2705546710060791,0.3632673206749316,-0.1268181017011915,3.7847236635905897e-05,9.216872934177884e-05
train85_test15,stack_on_clock,525,93,525,618,9.66043390733885e-05,7.096198543962412e-05,0.19516889147305916,0.2615168711286733,0.35224688674729554,-0.12118789677664892,3.735676365640499e-05,9.216872934177884e-05
train85_test15,load_on_clock,525,93,525,618,9.683172821891451e-05,7.117024798742828e-05,0.1932744645786143,0.2593495363651894,0.34919391049907855,-0.12094731735872656,3.7081061771817126e-05,9.216872934177884e-05
train85_test15,charge_throughput,525,93,525,618,9.836944624485085e-05,7.338816675076983e-05,0.18046341162501955,0.23626822631181665,0.3283597803146978,-0.12645950090438132,3.5624045552778146e-05,9.216872934177884e-05
train85_test15,stack_on_plus_charge,525,93,525,618,9.66043390733885e-05,7.096198543962412e-05,0.19516889147305916,0.2615168711286733,0.35224688674729554,-0.12118789677664892,3.735676365640499e-05,9.216872934177884e-05
rolling_train60_next10,zero_increment,371,62,371,433,8.350469361906409e-05,6.395631314668405e-05,0.0,0.0,0.0,0.14789529208229493,0.0,5.011970606030385e-05
rolling_train60_next10,constant_segment,371,62,371,433,6.793165380986009e-05,5.153528903035723e-05,0.18649298781031243,0.19421107167073792,0.33820634111820747,0.14789529208229496,3.7723712009798076e-05,5.011970606030385e-05
rolling_train60_next10,event_count_clock,371,62,371,433,6.764131616119602e-05,5.235548147390088e-05,0.1899698899589336,0.18138681080906927,0.3438512208268578,0.08495322606584943,4.301286587490853e-05,5.011970606030385e-05
rolling_train60_next10,elapsed_clock,371,62,371,433,6.879555139221397e-05,5.282395694950403e-05,0.17614749051054568,0.1740618814541094,0.3212670426079286,0.06934569918463947,3.9696526515781055e-05,5.011970606030385e-05
rolling_train60_next10,stack_on_clock,371,62,371,433,6.93062699424421e-05,5.2476350838842926e-05,0.17003144447655927,0.179496936940561,0.3111521968423333,0.051383155419471215,4.2790114797865226e-05,5.011970606030385e-05
rolling_train60_next10,load_on_clock,371,62,371,433,6.93969045482102e-05,5.252302738974103e-05,0.16894606110659482,0.17876711765296316,0.3093493506497563,0.05058505329543757,4.2699089946955156e-05,5.011970606030385e-05
rolling_train60_next10,charge_throughput,371,62,371,433,7.079349292616649e-05,5.4100648541839644e-05,0.15222139190024686,0.15409994916749503,0.28127143164844515,0.07452392516071507,4.4583536645323824e-05,5.011970606030385e-05
rolling_train60_next10,stack_on_plus_charge,371,62,371,433,6.93062699424421e-05,5.2476350838842926e-05,0.17003144447655927,0.179496936940561,0.3111521968423333,0.051383155419471215,4.2790114797865226e-05,5.011970606030385e-05
rolling_train70_next10,zero_increment,433,62,433,495,9.510204660230121e-05,7.703967032594352e-05,0.0,0.0,0.0,-0.0015329495891302977,0.0,6.810711747553276e-05
rolling_train70_next10,constant_segment,433,62,433,495,7.227906867404734e-05,5.2391987713673316e-05,0.2399840880785169,0.3199349440098781,0.4223758136261564,-0.0015329495891303186,3.9498658040124507e-05,6.810711747553276e-05
rolling_train70_next10,event_count_clock,433,62,433,495,6.920175943015489e-05,4.856087829907836e-05,0.27234205884607754,0.3696639913745162,0.4705139206756347,-0.011975086529006319,4.012632602109402e-05,6.810711747553276e-05
rolling_train70_next10,elapsed_clock,433,62,433,495,7.211345107080792e-05,5.081484669404511e-05,0.24172556062465467,0.34040674786048586,0.4250198745900058,-0.027006572810287344,3.593861743277506e-05,6.810711747553276e-05
rolling_train70_next10,stack_on_clock,433,62,433,495,7.130584797234442e-05,4.9760635308154965e-05,0.25021752401888886,0.3540907548328669,0.4378262387116345,-0.033385352407726526,3.650268776210505e-05,6.810711747553276e-05
rolling_train70_next10,load_on_clock,433,62,433,495,7.137262122252471e-05,4.979875718883027e-05,0.24951540190305765,0.3535959204116652,0.43677286801927095,-0.03362656439245024,3.634466188878075e-05,6.810711747553276e-05
rolling_train70_next10,charge_throughput,433,62,433,495,7.346395167846506e-05,5.230987830427528e-05,0.22752501861839602,0.3210007508734153,0.4032824031394906,-0.037149583248640095,3.652715158364838e-05,6.810711747553276e-05
