scenario,load_source,load_seed,strategy,health_seed,n_steps,hydrogen_g,hydrogen_soc_corrected_g,sampled_damage_increment_pct,main_sampled_damage_increment_pct,recovery_sampled_damage_increment_pct,main_expected_continuous_damage_pct,main_sampled_continuous_damage_pct,main_discrete_damage_pct,expected_damage_increment_pct,main_expected_damage_increment_pct,recovery_expected_damage_increment_pct,performance_loss_sum,main_performance_loss_sum,recovery_performance_loss_sum,main_hydrogen_g,recovery_hydrogen_g,battery_throughput_kwh,soc_final,soc_error,constraint_violation_steps,safety_override_steps,max_power_balance_error_kw,clipped_points,clipped_share,soc_recovery_steps,health_changed_steps,final_damage_mean_pct,final_damage_range_pct,damage_increment_range_pct,aged_stack_index,aged_stack_current_share,main_aged_stack_current_share,stack_0_current_a_step,stack_1_current_a_step,stack_0_final_damage_pct,stack_1_final_damage_pct
synthetic_event_markov_seed_2026,synthetic_event_markov,2026,average,12026,120,43.873993238009696,43.777330058600995,0.004858554166666668,0.004266196666666667,0.0005923575000000001,2.566666666666667e-05,2.5666666666666683e-05,0.00424053,0.004858554166666668,0.004266196666666667,0.0005923575000000001,6.956731751593374,0.6545893588527539,6.3021423927406195,6.180186054170157,37.693807183839546,0.2479488784977666,0.7000515609309687,5.156093096869707e-05,0,0,7.105427357601002e-15,0,0.0,75,97,3.743640689305551,5.612054894722212,0.00023777638888011765,1,0.5531268973891925,0.5,11040.0,13665.0,0.9376132419444447,6.549668136666657
synthetic_event_markov_seed_2026,synthetic_event_markov,2026,beam_health,12026,120,42.701888986356735,42.7819675657803,0.005044841111111111,0.0043346911111111115,0.00071015,3.4861111111111106e-05,3.486111111111112e-05,0.004299829999999999,0.005044841111111111,0.0043346911111111115,0.00071015,3.2850624545523455,0.7985697358758407,2.4864927186765047,10.335828400939748,32.36606058541699,0.09401683016348023,0.6999572854303884,-4.271456961157938e-05,0,0,0.0,0,0.0,75,118,3.7437338327777736,5.611986814999991,0.00016969666665900274,1,0.3830318153462258,0.3324742268041237,14835.0,9210.0,0.9377404252777778,6.549727240277769
real_block_bootstrap_seed_2026,real_block_bootstrap,2026,average,12026,120,31.566898595653612,31.55743539715625,0.004981466666666667,0.004271995,0.0007094716666666667,3.1465e-05,3.146500000000002e-05,0.00424053,0.004981466666666667,0.004271995,0.0007094716666666667,1.413057205369158,0.052158535585155555,1.3608986697840024,1.3319366496056375,30.234961946047967,0.07058687733002922,0.7000050477475234,5.047747523412305e-06,0,0,8.881784197001252e-16,0,0.0,75,109,3.74370214555555,5.61205368499999,0.00023656666665716752,1,0.28270042194092826,0.5,12750.0,5025.0,0.9376753030555555,6.549728988055545
real_block_bootstrap_seed_2026,real_block_bootstrap,2026,beam_health,12026,120,31.49586197434131,31.445809466531763,0.004836953333333334,0.0020360333333333345,0.00280092,1.6733333333333338e-05,1.6733333333333514e-05,0.0020193,0.004836953333333334,0.0020360333333333345,0.00280092,1.7464186724636552,0.004229382326290364,1.7421892901373648,0.6659683248028188,30.829893649538487,0.04546457651962013,0.7000266984172853,2.6698417285309084e-05,0,0,8.881784197001252e-16,0,0.0,75,114,3.7436298888888855,5.61190567166666,8.855333332791204e-05,1,0.3360586411051593,0.0,11775.0,5960.0,0.9376770530555554,6.549582724722216
synthetic_event_markov_seed_2027,synthetic_event_markov,2027,average,12027,120,57.806050592884645,58.0814133469143,0.004986875833333332,0.004268150833333332,0.000718725,2.7620833333333335e-05,2.7620833333333352e-05,0.00424053,0.004986875833333332,0.004268150833333332,0.000718725,8.151872234666405,1.991769644192962,6.160102590473444,12.96418338949487,44.8418672033898,0.521583582691594,0.6998531192534869,-0.00014688074651303396,0,0,0.0,0,0.0,75,95,3.7437048501388843,5.612054588611101,0.00023747027776832574,1,0.4470046082949309,0.5,18000.0,14550.0,0.9376775558333341,6.549732144444435
synthetic_event_markov_seed_2027,synthetic_event_markov,2027,beam_health,12027,120,57.29991466603452,57.534496765003155,0.004851605555555557,0.0042652938888888894,0.0005863116666666667,2.4763888888888896e-05,2.476388888888891e-05,0.00424053,0.004851605555555557,0.0042652938888888894,0.0005863116666666667,6.44990188563529,1.9626239110662513,4.4872779745690385,15.592538378049998,41.70737628798453,0.39384634454568757,0.6998748719886372,-0.00012512801136277396,0,0,0.0,0,0.0,75,95,3.743637214999996,5.612037918333323,0.00022079999999125022,1,0.4165504416550442,0.4561503416856492,18825.0,13440.0,0.9376182558333341,6.549656174166658
real_block_bootstrap_seed_2027,real_block_bootstrap,2027,average,12027,120,42.03592066155392,41.97460087279543,0.005057207222222223,0.004538636666666667,0.0005185705555555555,4.9046666666666666e-05,4.9046666666666686e-05,0.00448959,0.005057207222222223,0.004538636666666667,0.0005185705555555555,5.162174711260011,3.306740699287966,1.855434011972045,23.530880809699596,18.505039851854324,0.631920091267985,0.7000327084771526,3.2708477152643134e-05,0,1,3.552713678800501e-15,4,0.03333333333333333,75,120,3.7437400158333274,5.6121204922222105,0.0003033738888783555,1,0.501056189269117,0.5,11810.0,11860.0,0.937679769722222,6.549800261944433
real_block_bootstrap_seed_2027,real_block_bootstrap,2027,beam_health,12027,120,42.00040235089776,41.944982227773494,0.004996951111111111,0.0044779488888888885,0.0005190022222222222,5.358888888888889e-05,5.358888888888865e-05,0.00442436,0.004996951111111111,0.0044779488888888885,0.0005190022222222222,3.4895838176430556,1.59874627324045,1.890837544402605,23.069142771169638,18.931259579728128,0.5961261862138245,0.7000295615472216,2.956154722166815e-05,0,1,3.552713678800501e-15,4,0.03333333333333333,75,120,3.743709887777772,5.612047574999988,0.0002304566666555541,1,0.4040169133192389,0.3233256351039261,14095.0,9555.0,0.9376861002777781,6.549733675277766
synthetic_event_markov_seed_2028,synthetic_event_markov,2028,average,12028,120,54.21870121661347,54.25077949874961,0.004989209166666665,0.004272199166666665,0.0007170100000000001,3.166916666666667e-05,3.1669166666666685e-05,0.00424053,0.004989209166666665,0.004272199166666665,0.0007170100000000001,7.054199023191175,2.5759120994629927,4.4782869237281835,15.592538378049994,38.626162838563495,0.34532868710051384,0.6999828891817863,-1.7110818213650347e-05,0,0,0.0,0,0.0,75,97,3.743706016805551,5.612054699722211,0.00023758138887930436,1,0.4615132656403538,0.5,16440.0,14090.0,0.9376786669444452,6.549733366666657
synthetic_event_markov_seed_2028,synthetic_event_markov,2028,beam_health,12028,120,54.04998924099676,54.26761352696843,0.005045296666666668,0.004336496666666668,0.0007088,3.666666666666666e-05,3.666666666666668e-05,0.004299829999999999,0.005045296666666668,0.004336496666666668,0.0007088,6.304036532130271,2.4315295073523946,3.8725070247778763,15.787889086658828,38.26210015433795,0.2999313020825405,0.6998839174248691,-0.00011608257513084919,0,0,4.440892098500626e-16,0,0.0,75,115,3.743734060555551,5.611978353888879,0.00016123555554659053,1,0.4391325776244455,0.5416197975253093,17070.0,13365.0,0.9377448836111116,6.5497232374999905
