policy,n_runs,health_limit_crossing_share,time_to_limit_mean_h,time_to_limit_std_h,time_to_limit_q10_h,time_to_limit_median_h,time_to_limit_q90_h,start_count_mean,assignment_change_mean
fixed_pair,10,1.0,1331.8,6.613118276073197,1325.8,1329.5,1342.1,2.0,0.0
health_greedy,10,1.0,1738.8,7.390684827688313,1727.6,1741.5,1744.2,36.4,34.4
